movie_title,year,director,stars,rating
The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins, Morgan Freeman",9.221377613270343
The Godfather,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino",9.14670331153127
The Godfather: Part II,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro",8.98106391100221
The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger",8.976951546949058
12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb",8.942159441328727
Schindler's List,1993,Steven Spielberg,"Liam Neeson, Ralph Fiennes",8.91321115442614
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen",8.89276810272324
Pulp Fiction,1994,Quentin Tarantino,"John Travolta, Uma Thurman",8.833137256136222
"Il buono, il brutto, il cattivo",1966,Sergio Leone,"Clint Eastwood, Eli Wallach",8.782889891130308
 The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen",8.782381349521295
Fight Club,1999,David Fincher,"Brad Pitt, Edward Norton",8.747937243892048
Forrest Gump,1994,Robert Zemeckis,"Tom Hanks, Robin Wright",8.74414667181052
Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",8.714484465171891
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen",8.70631641120059
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill, Harrison Ford",8.69410195231561
The Matrix,1999,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",8.65064493467025
Goodfellas,1990,Martin Scorsese,"Robert De Niro, Ray Liotta",8.645164952204253
One Flew Over the Cuckoo's Nest,1975,Milos Forman,"Jack Nicholson, Louise Fletcher",8.633383944858185
Shichinin no samurai,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",8.60774652861619
Se7en,1995,David Fincher,"Morgan Freeman, Brad Pitt",8.586916374222152
The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins",8.577103277473954
Cidade de Deus,2002,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino",8.575830206219138
It's a Wonderful Life,1946,Frank Capra,"James Stewart, Donna Reed",8.575140373797717
La vita è bella,1997,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",8.575137072185127
Saving Private Ryan,1998,Steven Spielberg,"Tom Hanks, Matt Damon",8.551445297596645
Star Wars,1977,George Lucas,"Mark Hamill, Harrison Ford",8.548783335975163
Interstellar,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",8.546491867725868
Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette",8.538661954899716
The Green Mile,1999,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",8.537707403815885
Spider-Man: No Way Home,2021,Jon Watts,"Tom Holland, Zendaya",8.534378619680952
Gisaengchung,2019,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee",8.524846706371358
Léon,1994,Luc Besson,"Jean Reno, Gary Oldman",8.494337708592258
Seppuku,1962,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama",8.493258170443525
The Pianist,2002,Roman Polanski,"Adrien Brody, Thomas Kretschmann",8.491257914727285
Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",8.48582272536705
Back to the Future,1985,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",8.484280521784152
The Usual Suspects,1995,Bryan Singer,"Kevin Spacey, Gabriel Byrne",8.481255013014358
The Lion King,1994,Roger Allers,"Matthew Broderick, Jeremy Irons",8.481227507570194
Psycho,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh",8.48119010132788
Modern Times,1936,Charles Chaplin,"Charles Chaplin, Paulette Goddard",8.476534952785764
Hotaru no haka,1988,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi",8.474217424887268
American History X,1998,Tony Kaye,"Edward Norton, Edward Furlong",8.472216172158712
Whiplash,2014,Damien Chazelle,"Miles Teller, J.K. Simmons",8.469829561518607
Gladiator,2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix",8.46960635235097
The Departed,2006,Martin Scorsese,"Leonardo DiCaprio, Matt Damon",8.467194226914913
City Lights,1931,Charles Chaplin,"Charles Chaplin, Virginia Cherrill",8.467018368076156
The Intouchables,2011,Olivier Nakache,"François Cluzet, Omar Sy",8.458142315492639
The Prestige,2006,Christopher Nolan,"Christian Bale, Hugh Jackman",8.453715885466739
Casablanca,1942,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman",8.448551117111924
Once Upon a Time in the West,1968,Sergio Leone,"Henry Fonda, Charles Bronson",8.445009287949034
Rear Window,1954,Alfred Hitchcock,"James Stewart, Grace Kelly",8.439422410146516
Nuovo Cinema Paradiso,1988,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale",8.438489312671
Alien,1979,Ridley Scott,"Sigourney Weaver, Tom Skerritt",8.422305195557154
Apocalypse Now,1979,Francis Ford Coppola,"Martin Sheen, Marlon Brando",8.416535860024668
Memento,2000,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss",8.405762016223417
Raiders of the Lost Ark,1981,Steven Spielberg,"Harrison Ford, Karen Allen",8.403988813681558
The Great Dictator,1940,Charles Chaplin,"Charles Chaplin, Paulette Goddard",8.402471118554795
Django Unchained,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz",8.391592826882308
The Lives of Others,2006,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck",8.389854033323862
Paths of Glory,1957,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",8.382020741138632
Sunset Blvd,1950,Billy Wilder,"William Holden, Gloria Swanson",8.376205982632765
WALL·E,2008,Andrew Stanton,"Ben Burtt, Elissa Knight",8.373646156452997
Avengers: Infinity War,2018,Anthony Russo,"Robert Downey Jr., Chris Hemsworth",8.372178376013027
Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,"Shameik Moore, Jake Johnson",8.365694267767985
Witness for the Prosecution,1957,Billy Wilder,"Tyrone Power, Marlene Dietrich",8.3656205266327
The Shining,1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",8.36274881166435
Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,"Peter Sellers, George C. Scott",8.350311269642464
Mononoke-hime,1997,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",8.344545791309985
Oldeuboi,2003,Park Chan-wook,"Choi Min-sik, Yoo Ji-Tae",8.343053600377973
Joker,2019,Todd Phillips,"Joaquin Phoenix, Robert De Niro",8.337896151905895
Kimi no na wa,2016,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi",8.328072472523596
Coco,2017,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",8.322911312725546
The Dark Knight Rises,2012,Christopher Nolan,"Christian Bale, Tom Hardy",8.321442479776762
Aliens,1986,James Cameron,"Sigourney Weaver, Michael Biehn",8.320472094796093
Once Upon a Time in America,1984,Sergio Leone,"Robert De Niro, James Woods",8.317543862049504
Avengers: Endgame,2019,Anthony Russo,"Robert Downey Jr., Chris Evans",8.314163273599398
Capharnaüm,2018,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw",8.312099256361492
Das Boot,1981,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",8.306082256432012
Tengoku to jigoku,1963,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada",8.302645760080024
3 Idiots,2009,Rajkumar Hirani,"Aamir Khan, Madhavan",8.299049622270491
Toy Story,1995,John Lasseter,"Tom Hanks, Tim Allen",8.296527836147545
Amadeus,1984,Milos Forman,"F. Murray Abraham, Tom Hulce",8.29546289931241
American Beauty,1999,Sam Mendes,"Kevin Spacey, Annette Bening",8.293898261564648
Braveheart,1995,Mel Gibson,"Mel Gibson, Sophie Marceau",8.29231603317184
Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt, Diane Kruger",8.291954914568105
Good Will Hunting,1997,Gus Van Sant,"Robin Williams, Matt Damon",8.284504992290971
Hamilton,2020,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo",8.277835476624446
Idi i smotri,1985,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",8.274675246272503
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,"Mark Hamill, Harrison Ford",8.27332116473339
2001: A Space Odyssey,1968,Stanley Kubrick,"Keir Dullea, Gary Lockwood",8.271467996211342
Reservoir Dogs,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth",8.269357542402224
Taare Zameen Par,2007,Aamir Khan,"Darsheel Safary, Aamir Khan",8.26903342988057
Vertigo,1958,Alfred Hitchcock,"James Stewart, Kim Novak",8.267798794906588
M - Eine Stadt sucht einen Mörder,1931,Fritz Lang,"Peter Lorre, Ellen Widmann",8.267299888720087
Jagten,2012,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",8.266617146370113
Citizen Kane,1941,Orson Welles,"Orson Welles, Joseph Cotten",8.265448960813957
Singin' in the Rain,1952,Stanley Donen,"Gene Kelly, Donald O'Connor",8.259608544690245
Requiem for a Dream,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto",8.259520094602452
North by Northwest,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",8.256208376500657
 Ikiru,1952,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",8.255191042033456
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Jim Carrey, Kate Winslet",8.254749037339558
Ladri di biciclette,1948,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola",8.253286299297159
Lawrence of Arabia,1962,David Lean,"Peter O'Toole, Alec Guinness",8.25010959260976
The Kid,1921,Charles Chaplin,"Charles Chaplin, Edna Purviance",8.241620581526096
Full Metal Jacket,1987,Stanley Kubrick,"Matthew Modine, R. Lee Ermey",8.241163828169999
Incendies,2010,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin",8.241006962757565
Dangal,2016,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar",8.240405467205303
The Apartment,1960,Billy Wilder,"Jack Lemmon, Shirley MacLaine",8.239310115764868
Double Indemnity,1944,Billy Wilder,"Fred MacMurray, Barbara Stanwyck",8.2359078426612
Metropolis,1927,Fritz Lang,"Brigitte Helm, Alfred Abel",8.234697941431774
A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",8.233424567265804
Taxi Driver,1976,Martin Scorsese,"Robert De Niro, Jodie Foster",8.233303500761656
The Father,2020,Florian Zeller,"Anthony Hopkins, Olivia Colman",8.232586581844245
The Sting,1973,George Roy Hill,"Paul Newman, Robert Redford",8.231676659080101
Jodaeiye Nader az Simin,2011,Asghar Farhadi,"Payman Maadi, Leila Hatami",8.231645384557249
Scarface,1983,Brian De Palma,"Al Pacino, Michelle Pfeiffer",8.231413420575727
Snatch,2000,Guy Ritchie,"Jason Statham, Brad Pitt",8.228772844150303
1917,2019,Sam Mendes,"Dean-Charles Chapman, George MacKay",8.22773479687701
Le fabuleux destin d'Amélie Poulain,2001,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",8.226465389491457
To Kill a Mockingbird,1962,Robert Mulligan,"Gregory Peck, John Megna",8.224128028643271
Toy Story 3,2010,Lee Unkrich,"Tom Hanks, Tim Allen",8.221014564515281
Per qualche dollaro in più,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef",8.216326285602214
Up,2009,Pete Docter,"Edward Asner, Jordan Nagai",8.213238728034936
Pather Panchali,1955,Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee",8.204739858160165
Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Harrison Ford, Sean Connery",8.203071277086872
Heat,1995,Michael Mann,"Al Pacino, Robert De Niro",8.200040205657674
LA Confidential,1997,Curtis Hanson,"Kevin Spacey, Russell Crowe",8.196207669509567
Ran,1985,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",8.193931768403466
Die Hard,1988,John McTiernan,"Bruce Willis, Alan Rickman",8.193492729299981
Yôjinbô,1961,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",8.193466731615615
Green Book,2018,Peter Farrelly,"Viggo Mortensen, Mahershala Ali",8.191241297577053
Rashômon,1950,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",8.189566028495678
Der Untergang,2004,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",8.189082594438705
All About Eve,1950,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",8.187620024709773
Monty Python and the Holy Grail,1975,Terry Gilliam,"Graham Chapman, John Cleese",8.186698988134061
Some Like It Hot,1959,Billy Wilder,"Marilyn Monroe, Tony Curtis",8.183899427402096
Batman Begins,2005,Christopher Nolan,"Christian Bale, Michael Caine",8.182101760035778
Unforgiven,1992,Clint Eastwood,"Clint Eastwood, Gene Hackman",8.17730156757419
Jai Bhim,2021,T.J. Gnanavel,"Suriya, Lijo Mol Jose",8.174413978354318
Bacheha-Ye aseman,1997,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian",8.170963446078646
Hauru no ugoku shiro,2004,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura",8.165121473627162
The Wolf of Wall Street,2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",8.165029030620655
Judgment at Nuremberg,1961,Stanley Kramer,"Spencer Tracy, Burt Lancaster",8.159578358102447
There Will Be Blood,2007,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",8.158472001972859
Casino,1995,Martin Scorsese,"Robert De Niro, Sharon Stone",8.156113936977787
The Great Escape,1963,John Sturges,"Steve McQueen, James Garner",8.155654362390182
The Treasure of the Sierra Madre,1948,John Huston,"Humphrey Bogart, Walter Huston",8.154270936384076
Pan's Labyrinth,2006,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",8.149065058322387
A Beautiful Mind,2001,Ron Howard,"Russell Crowe, Ed Harris",8.147509901332636
El secreto de sus ojos,2009,Juan José Campanella,"Ricardo Darín, Soledad Villamil",8.144589586644914
Raging Bull,1980,Martin Scorsese,"Robert De Niro, Cathy Moriarty",8.141662811466803
Chinatown,1974,Roman Polanski,"Jack Nicholson, Faye Dunaway",8.137071755383094
Tonari no Totoro,1988,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka",8.136126317033659
Shutter Island,2010,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",8.135699459457824
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",8.132924955492301
No Country for Old Men,2007,Ethan Coen,"Tommy Lee Jones, Javier Bardem",8.130688633968575
Klaus,2019,Sergio Pablos,"Jason Schwartzman, J.K. Simmons",8.129931916364677
Dial M for Murder,1954,Alfred Hitchcock,"Ray Milland, Grace Kelly",8.129157719648166
The Thing,1982,John Carpenter,"Kurt Russell, Wilford Brimley",8.128659362236393
The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain",8.127485971272048
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Frances McDormand, Woody Harrelson",8.125952914731833
Det sjunde inseglet,1957,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand",8.124486047361893
The Elephant Man,1980,David Lynch,"Anthony Hopkins, John Hurt",8.124077562542322
