user_id,book_id
207,25
242,28
162,345
301,2047
418,42
506,2695
506,3364
416,4092
506,241
530,70
542,937
504,219
557,6640
564,937
513,1255
513,15
590,25
618,2947
618,2239
651,706
654,4
656,25
212,62
688,187
718,1910
654,4759
756,621
870,699
870,706
870,972
751,9438
589,1977
961,6770
779,25
793,1968
1074,577
1007,155
1007,958
1061,103
791,77
791,5500
791,594
791,184
1135,265
1175,345
934,793
1007,289
793,817
869,937
1276,27
1276,53
746,62
746,368
746,345
804,229
1474,5221
1474,345
1504,1622
1534,6913
1526,937
1547,234
1547,707
1582,282
1582,369
1147,25
1582,6813
1666,1279
1488,8153
1450,25
1450,27
1723,3904
1649,32
1796,1801
1723,561
1723,9308
1297,4053
1582,4309
627,223
627,918
627,1137
1937,120
1850,760
1942,480
1926,25
1926,32
1953,2
1740,1286
594,28
2051,4419
1726,1486
1767,4392
318,1367
318,62
318,877
318,1061
2080,265
2080,289
2080,1741
2080,627
871,9283
2130,4
2323,760
1927,478
176,19
2080,6842
2334,4
2254,361
2356,4
1357,1155
1357,747
2366,53
2422,4118
2370,6180
898,792
1942,1957
2466,28
2466,361
2477,368
605,300
2502,219
1497,62
1608,265
2565,800
2589,289
2476,219
968,1641
2591,1953
2481,2148
2557,15
2337,747
2337,161
2337,1163
2337,873
2337,50
2337,4759
2593,25
2322,219
2292,347
2292,641
2292,292
2292,602
2292,542
2667,271
2667,997
1723,6732
2713,321
2732,586
2732,6733
2748,58
1903,369
1903,4145
2769,368
2800,778
2162,4
2337,221
2438,1367
2438,62
2438,3127
2944,161
2955,3739
1876,4351
1876,1678
1876,6972
1876,1020
1876,6813
2965,2
2965,27
2965,18
2965,23
2965,25
2820,219
2438,1641
2951,103
2951,529
2927,4476
2427,1925
3028,2
3028,23
3028,25
3028,27
3028,18
1845,6582
1845,1957
759,133
952,289
28,265
3087,2415
3087,1465
3085,89
2294,19
2294,155
3107,1741
3107,9469
2931,176
2437,851
1274,6813
3049,972
3035,627
2747,103
1890,62
2809,4392
2701,9461
2859,1957
1903,5436
3175,219
1235,234
3190,793
3190,4392
1340,2288
2633,80
3158,4565
3168,413
2296,62
2824,1391
3293,32
3293,265
283,1221
3277,480
3123,1367
887,1641
3321,50
614,176
3126,2406
3321,994
3321,28
3023,62
3023,368
3023,480
3363,117
3363,561
3321,369
1307,496
2652,4092
3384,5045
3384,25
3384,27
3055,4
3423,1605
918,561
3430,4392
3126,27
3207,9006
3470,1163
2122,32
2019,1465
3474,480
3474,368
3474,62
3462,1367
3536,85
3536,339
1796,3063
3320,4
3499,798
3581,5632
2240,2
2240,18
2240,23
3296,386
1117,6180
2399,1155
2399,1298
2399,1554
3629,480
3458,6658
3458,7797
648,62
3055,760
3636,3080
3636,3063
2517,2409
2517,561
1025,89
3615,937
783,271
2752,90
3695,89
3695,245
3351,15
3351,103
3351,93
3711,62
3713,19
3713,155
3672,189
3692,5221
1579,972
3351,2288
3126,59
3747,219
3094,62
3763,53
3771,505
3713,265
3713,257
3363,58
3826,1526
3857,361
2365,368
2931,8832
3828,6393
3828,3196
3915,3568
3916,4
3536,361
462,9270
3763,62
3845,265
3947,53
3628,641
3628,602
3628,292
3628,347
3628,413
3989,42
1508,58
1508,361
3628,2250
1964,6014
1964,7785
1964,7410
1964,8728
2389,62
3635,6770
3077,849
3964,1554
2281,368
4059,478
4049,1398
4076,265
4076,9006
850,6595
8,1357
4072,416
4072,492
151,793
3193,32
3193,50
457,4
457,27
457,23
457,18
457,28
457,15
457,2
457,58
457,42
457,85
3953,103
1102,289
2517,1639
4248,3132
4148,369
2070,529
3340,89
634,58
634,28
634,918
634,1038
1287,265
3509,1399
4337,2
952,19
952,155
952,161
4341,241
4359,62
4190,265
4248,265
4248,2289
4248,9270
4248,7934
4351,6541
4159,25
4159,27
4384,621
4384,58
923,2381
923,1535
4409,245
923,480
923,368
923,62
3953,937
4420,3728
4072,229
4072,518
4072,529
3207,2311
4450,103
4466,2270
4337,9461
4486,4
3126,257
4502,27
3458,4092
3391,9006
3340,5108
3707,595
4196,3084
4545,650
928,32
928,62
4204,4773
4450,3989
4398,25
3602,7655
3602,9152
1579,1695
4592,53
4379,1255
4373,8099
4373,3316
4373,7116
4373,8173
4373,7934
4373,3019
4373,2954
4373,2289
3502,18
4622,265
4634,4
4604,6070
4636,1641
1257,50
1257,28
1257,32
4294,444
4294,826
4294,229
4294,7045
4294,590
4294,1258
4294,103
4294,204
4294,3557
4294,4832
4294,3418
4294,3836
4294,28
4294,7879
4294,1957
4294,77
4294,496
4294,8745
4294,500
4273,1452
4585,1261
4379,89
4529,1155
4529,1298
4529,1554
4687,413
4687,6842
4687,1255
253,289
4210,1175
4581,2288
4693,89
4693,590
4693,388
4693,1020
4693,997
709,615
4585,56
4619,447
3628,1185
4659,50
4252,480
4782,53
3340,2619
3340,2291
3340,1323
4647,1686
4647,2
4647,23
4647,18
4647,25
4647,27
4076,808
4849,28
4782,3664
4553,53
4553,1968
4553,3910
4553,1233
4553,1476
4553,1827
4553,1774
4553,1975
4553,1977
4553,345
4553,70
4617,4
4371,70
3332,857
2858,265
4924,447
1075,937
1075,5232
1075,1686
1075,282
3909,25
3909,27
4505,425
4969,544
4982,50
4421,41
2294,392
4281,2288
4999,1695
4876,19
5028,25
5029,1357
3566,292
3566,602
3566,641
4505,1279
4926,176
4141,3639
5068,4
5028,27
4984,1526
4984,529
4984,4
29,32
29,730
29,618
29,1695
5127,2
5134,293
5134,595
5134,1327
5134,289
4213,2821
4250,4
5134,826
5120,1764
5120,7919
4798,117
5175,4
5035,399
1608,70
451,447
3692,8197
5169,681
4787,117
5035,6180
462,5890
4824,2064
5251,425
5260,2288
4658,289
4555,62
4555,219
4586,103
4555,3127
5290,8510
5290,7514
5290,1402
5035,50
5304,56
4278,6164
4278,7304
4278,8510
4278,1059
4278,5541
4278,7514
5310,1043
511,89
511,8664
511,80
2168,7204
2168,314
5286,6296
3340,3497
3340,2959
3340,3536
3340,4194
3340,3663
4545,161
4545,155
4545,19
5342,492
3340,9198
3697,50
3697,28
5300,41
4326,935
4326,375
4337,480
2267,1255
4663,786
1579,4687
5021,9438
1722,3127
5424,187
5120,9308
5150,187
2517,1968
4684,792
4542,595
5120,935
5120,6063
5426,4670
5426,1120
3928,857
5462,529
5453,187
5453,519
5453,781
5453,1452
4352,58
2591,1391
5498,9152
5498,519
5498,781
5503,5391
4196,103
4196,1175
2187,265
3070,1175
5522,265
5522,1641
1829,7396
3847,877
4956,1221
4925,3580
989,2288
3692,7345
3692,3316
3692,7116
3692,8173
3692,8241
3692,8287
4996,4603
5584,2
1591,4309
1591,9296
3236,3080
4421,368
4421,62
2517,5632
4252,265
5618,1554
5618,1298
5618,1155
5544,4
5544,706
5544,699
937,62
4438,590
4196,3132
1095,62
3340,6296
2043,3044
5281,1465
1519,760
1221,3044
5638,4
5054,70
2990,37
2990,2215
2990,621
2990,4042
2990,997
2990,1373
2990,7833
2990,23
2990,386
2990,1061
2990,373
2990,241
2990,59
2990,117
2990,70
2990,416
2990,184
3617,826
2294,2064
2294,77
3701,6005
3248,2611
1690,85
4382,32
5470,28
3636,1526
5684,7453
5678,62
3636,738
3636,6308
5684,265
5698,1061
3329,187
3329,1398
1036,28
5691,62
5712,1290
5712,70
5712,6901
1650,103
1650,133
1650,1210
1650,1112
1650,1357
2373,28
5691,3728
5720,8832
4710,103
4710,58
2613,602
2613,641
2613,37
3340,1626
663,32
663,480
663,15
663,62
663,937
5739,1293
3183,80
3183,89
5712,265
5743,769
5743,1207
5743,497
5743,293
5743,706
5743,6063
5743,1695
5743,804
5743,2370
5743,8558
5743,321
5743,2475
5743,241
5743,1290
5743,856
5743,3548
5743,997
5684,935
818,9647
2613,62
2227,93
2878,50
4438,5020
5706,877
2613,656
4943,5372
5228,9502
5228,5045
1690,292
1690,542
1690,602
1690,641
1281,606
5786,28
5786,37
5786,103
5786,42
5786,62
5786,19
3254,187
1979,187
4371,93
5348,28
2819,586
5802,1286
5802,265
5805,245
5809,4775
5809,1286
5809,469
5809,56
5786,447
5831,2
3061,606
5686,4183
5706,3364
3889,265
5847,85
5847,8652
5689,347
5689,542
3936,7502
619,3452
265,58
5021,3629
5860,85
5858,5833
5871,50
2030,28
4382,28
4259,265
4259,42
4259,425
4259,4
2043,447
4292,42
2048,1391
2275,369
4438,1695
3986,4094
4072,265
4072,158
1979,500
1979,3583
1979,3452
1726,28
1726,32
5912,8099
646,15
5912,856
5748,6733
2960,4716
4965,4196
5945,4
5831,32
5928,3364
5955,89
1724,447
1464,760
1464,4993
5967,56
3636,7714
5503,425
5973,999
5973,5303
4273,986
5975,1434
3470,6792
2928,265
4700,595
3832,1605
3832,650
4502,314
5955,5444
5955,70
5938,388
5956,1398
5956,781
5956,187
5956,519
104,6683
5991,4309
4337,3154
5992,1530
5992,3739
1708,176
1708,496
1708,586
1708,935
1708,2392
1708,8239
5946,120
5946,1718
5946,2054
5946,2270
2070,1155
5672,1693
5672,2198
5672,1418
5672,1931
5672,1463
5959,8287
5959,8557
5959,8241
5253,1298
5253,1554
5253,4230
4392,187
6029,8262
4843,5045
5468,37
5468,347
5468,93
5402,265
4980,155
4980,161
6046,117
6046,606
1610,937
6055,399
6055,245
1515,265
6042,62
6056,9270
6056,1764
4072,877
5639,2985
3619,1323
5987,447
5791,187
5791,282
5721,1255
1591,2472
1532,187
1532,519
1532,781
1532,1398
5890,7423
6112,5813
5943,7850
5698,56
5698,4649
5698,1032
6123,53
5500,4603
5500,447
6102,293
6102,730
5952,480
2000,80
6133,289
5310,2472
1649,2472
668,4208
5845,289
1376,555
189,2821
189,1261
1829,314
6151,361
358,265
4154,28
6162,62
6162,480
1154,25
1154,32
1154,4
1154,85
318,4233
6165,9200
6165,804
6165,1764
6165,6448
5149,25
6053,103
6059,4565
6174,356
6174,873
6174,1033
6174,1163
6174,1289
6174,1233
6174,1476
6174,1549
6174,1774
6174,1975
6174,2
6174,23
6174,18
6174,27
6174,425
6174,595
6165,6350
5500,293
630,447
6182,8626
6187,4
3422,58
3422,80
3422,117
3422,70
3422,769
6174,1897
318,58
3931,3132
3931,1293
1638,265
2931,7295
4154,3774
5500,263
5500,42
6216,28
6218,292
6218,602
6218,641
6158,3826
6158,3063
6227,187
6227,519
6227,1398
6235,1020
1966,7050
1804,3370
2738,857
2738,23
451,1639
1648,265
3168,117
6187,1764
6187,53
6187,345
6261,2601
5959,8575
3168,265
3168,289
3168,15
6245,369
5748,4145
5775,8324
3232,265
6273,15
6273,85
6273,28
3697,56
5447,935
5447,529
5326,1465
318,2311
2610,3056
6287,7195
6287,9200
6284,103
6284,1357
1829,223
1346,42
1262,2472
1262,4687
1262,5151
1262,4791
6307,8761
4272,586
4074,3127
6264,19
6264,155
6264,161
6284,89
6284,263
6284,314
6284,223
6314,4069
6328,595
1483,90
5468,219
4360,356
6329,425
5699,3127
6284,41
4154,621
4154,117
3463,265
5712,3568
5712,1175
2399,28
6314,1456
6318,9006
6367,158
6367,335
3168,271
6369,1825
234,7886
3765,37
3765,347
3765,292
3765,602
3765,542
3765,641
322,56
4659,627
2425,1255
1724,1764
1724,1398
1724,8637
6389,32
6389,28
6364,56
2865,80
6397,369
3225,804
3225,1622
5984,263
6314,6350
5325,2288
5866,4296
3668,425
6411,399
5468,41
4553,1452
4553,6350
4553,62
4553,368
6253,3568
6165,1175
3991,369
6429,5493
5804,373
6345,1221
2046,321
3974,56
1308,9006
6441,1324
6314,282
6314,4952
6314,2480
276,265
6459,447
4553,2289
2227,6913
6314,2326
6495,2392
1495,399
1495,58
1495,116
1495,1622
1495,1178
6515,760
5424,778
2888,56
3617,447
6530,19
6533,25
6533,27
4840,1641
6271,5221
4996,6296
4996,6427
3339,8262
4538,219
6551,42
5559,706
6443,3568
6551,32
6551,58
6559,53
6562,1225
6562,1289
6562,1233
6562,1549
6562,1476
6562,1827
6562,1774
6562,1975
6562,1977
5939,650
1205,9272
1205,282
1205,1193
6465,1367
4238,90
5351,2095
6580,3154
6584,56
6121,808
4749,3568
4601,2270
318,817
4996,42
2919,32
6590,37
2162,650
2162,595
5281,577
150,2601
6112,6683
2796,3899
555,586
2006,8617
2006,1286
2006,518
2006,265
3097,15
3097,103
6467,3221
6614,56
6616,42
6572,120
6629,28
4617,219
6479,1350
6629,3728
1430,42
6642,1678
6642,447
6467,656
6642,5232
6561,27
6561,18
6561,23
5733,918
1669,265
4890,2288
6561,4
6654,656
6654,2392
6586,877
3989,5221
3989,4233
6479,1259
5889,265
401,399
5637,760
6652,241
3209,117
1847,1953
3235,345
5328,496
4273,3160
3719,77
3719,7655
1591,1669
4918,187
6344,7934
6344,9270
6344,2954
6344,3019
690,846
6310,6180
6374,4
2418,447
6580,1398
6580,781
6580,519
6580,187
6710,447
6710,4145
6740,7927
6740,4167
6740,1059
6740,2968
6740,62
6740,6350
6740,3910
6740,8506
6740,1480
3991,234
286,8669
6740,6982
6740,496
6725,5632
6752,4
1514,6770
4415,1626
6740,1569
2210,70
2210,606
2210,265
2756,8821
4589,3657
6185,1391
4918,586
6607,4
6730,5260
4438,447
6522,447
6772,2
6772,18
6772,27
6772,23
6772,19
6772,28
6772,32
6772,42
2811,345
2811,53
2023,271
3605,3132
3605,133
6287,6350
2943,187
4364,1953
4364,413
4364,103
6218,997
6218,707
6218,89
6732,425
6422,1910
4477,9006
6778,590
6778,59
5376,3160
2782,641
3605,778
6165,447
1308,5380
6289,361
6289,590
5581,189
5581,219
5581,1196
5581,37
5581,56
5581,187
3989,3364
6797,5526
5566,2302
6492,447
2237,56
286,3595
6467,368
3605,103
3605,176
6729,155
4453,356
4453,5890
6394,447
2610,447
4996,1185
3605,5913
5640,2250
6858,28
6858,1641
6858,375
6858,935
4653,641
538,56
6862,293
1030,221
5841,1626
3605,9395
6813,347
6813,851
6813,2740
6112,2195
6769,5813
6769,6350
3605,2472
6273,56
1840,730
1840,1465
6891,5890
6836,447
3100,229
3509,5967
4129,42
2931,595
6821,2719
4360,544
5021,593
6732,356
6732,873
5499,447
6821,1641
6797,221
6797,1897
6797,3831
6956,265
6956,804
5744,1452
6665,3127
6973,335
6973,760
6973,1163
6973,1289
6973,1225
6973,1233
6973,1549
6973,1476
6973,1827
6973,1774
6973,1977
6973,1975
6973,1322
224,70
4505,56
4360,3833
1205,369
1205,3830
1205,853
1205,59
1205,1445
1591,4196
1205,786
4364,740
4364,89
1205,2338
1205,2049
6990,28
6990,42
5375,7363
6591,4495
6591,1166
6883,229
6993,1639
6107,56
960,32
6467,2282
1429,265
2770,56
2770,661
3482,58
1840,1255
3636,1043
4048,447
6507,1953
3302,8643
6883,42
6883,699
6883,972
6883,706
5326,265
6239,2195
4714,8617
7024,4775
7024,7598
6492,1686
7024,263
7052,1155
7052,1554
7052,817
7095,58
7079,19
7079,155
7079,161
36,2415
5657,8072
1044,595
6883,1225
6268,1020
6268,89
6975,594
7045,37
7045,77
4659,77
6776,219
6467,1298
3436,117
3499,265
4659,1038
6580,4000
5449,15
4305,2
2105,7106
6283,28
4148,808
3221,399
4341,3221
7126,37
7126,3991
7126,4567
6776,6393
6776,3196
3986,1434
7099,3019
6006,606
6006,800
7143,292
7143,542
7143,602
7143,641
5776,3127
7149,2802
7040,3983
6618,2064
2070,399
4840,826
3947,2861
7162,1764
7162,399
6667,747
783,1020
7172,447
6804,1255
6804,3830
5880,300
4165,151
1351,1323
2260,1255
944,478
7080,27
7080,23
4364,399
2063,492
6465,241
6465,856
6744,1825
6744,2049
6744,1590
6744,2976
6744,4042
6744,5114
6744,5860
6744,6138
3233,1695
2168,3127
7196,4
7196,42
7196,32
7196,28
7191,1465
5834,1907
7198,602
562,4
150,289
3449,399
6439,399
7160,9198
7201,402
7201,1526
2962,1322
1927,413
2407,50
2407,32
2407,85
7221,300
4670,7018
7223,32
7236,28
5281,1061
5281,219
5281,347
5281,292
5281,542
5281,641
7224,997
7242,2148
7242,577
7242,90
7242,77
7242,234
7242,857
7242,369
7242,1175
7242,586
7242,223
7182,6898
5639,8332
3153,2122
7249,120
6967,1641
6967,4190
4009,1061
6769,1398
5164,32
5164,478
5682,42
1689,3568
6657,399
3550,2302
690,492
3964,447
6465,1323
2294,3790
2294,1293
133,3221
7273,42
7273,4534
4785,27
4785,25
5559,4716
7048,85
7146,2075
7146,103
6308,402
6308,375
6308,339
6308,608
6308,844
6308,728
6308,1478
6308,863
6308,888
6308,5492
6308,358
6308,4847
1966,650
5444,7739
2070,265
2397,561
7285,28
6846,335
6846,1916
6846,1825
6846,2049
6846,2976
2547,4
5273,3992
2730,42
5140,1456
6271,1611
7141,469
6468,706
6468,817
8,19
7317,8369
7333,89
7146,454
7190,6842
1814,56
1569,2289
1569,2954
1569,3019
1569,7934
1569,9270
1569,6279
1569,62
1569,368
1569,480
4844,586
4844,656
7344,804
7344,314
7344,7171
7348,529
6883,93
7224,356
989,265
3967,399
3967,56
6562,314
7359,1953
6271,486
6271,586
6271,53
6271,5500
6271,793
143,56
4818,7739
7360,4
7360,50
7360,89
7359,650
1210,117
4787,300
7375,32
7376,42
1971,808
4890,1465
6304,6972
6304,4214
3553,4
6272,282
3553,4775
3553,7598
6105,2289
3277,271
3470,2202
7404,4392
7333,1166
6259,53
6259,345
6259,447
6879,6952
6656,32
7405,4525
7405,241
7405,7714
7405,1434
7405,80
5422,730
7415,4
6562,53
6562,345
6271,1531
3028,399
7418,447
7418,4891
7418,4941
6132,187
7156,492
3579,728
3579,296
1732,117
6318,399
7445,32
7349,4
1739,80
1739,265
6259,4355
3055,937
4282,999
7454,32
7456,90
4616,1185
4616,6951
2943,300
6757,187
6592,9456
24420,1020
4840,229
6467,2195
3360,282
3670,4392
186,56
7482,399
7288,5108
7288,4759
7288,8021
6778,282
6888,2381
6888,1535
7497,4
6883,4716
6185,792
2782,58
5221,444
5221,826
5221,590
7497,590
1882,50
6349,1434
2968,3992
2968,5452
2809,4069
7108,8555
3774,176
3605,7598
6056,2195
6056,4775
5394,345
6110,7514
6110,7304
6110,6164
6110,1059
6110,8510
6110,5541
7220,505
7220,399
6955,15
536,282
7290,282
7290,615
7290,4775
6410,1128
7539,56
7540,265
6165,56
6410,117
1988,56
4988,937
7556,399
1734,56
1734,447
6445,314
7461,1290
7566,25
7566,27
7566,18
6898,594
6898,4
6898,3886
6898,4214
6898,3439
6898,5500
2646,1020
7447,808
7447,214
7447,159
7510,282
7447,447
7447,2195
5049,1255
4438,103
6253,80
2328,4
7581,58
7579,265
7167,618
7167,1910
7594,2821
7594,3904
7594,4698
7594,7893
7594,5145
7594,184
7594,373
7538,28
7538,58
7538,2601
7538,1526
7594,4460
7538,425
7594,9152
7594,1286
7594,469
3532,265
3532,4
3532,28
3788,2250
5847,56
5740,89
5740,70
2576,577
6467,4782
6410,89
6449,606
5258,5567
5258,4014
5258,6505
5258,8591
4653,56
4356,997
5363,1591
5562,289
4612,2406
2425,300
4612,70
4612,117
5234,219
4905,7396
5234,23
7532,1418
7532,2198
7532,1931
7532,1693
7532,1463
7532,1686
7532,3530
7532,3938
7532,3492
7625,80
7625,561
7625,496
7510,263
7640,37
7640,70
7640,229
730,7395
4615,265
6975,6201
4453,1896
7642,89
7641,425
4940,4233
4940,5221
4940,7020
5748,133
5748,1210
7241,263
4423,1957
60,425
5748,32
783,4
380,15
6239,2619
6239,1957
6239,2935
375,3826
7657,80
7657,59
7657,271
7657,356
7657,116
294,80
294,289
7461,41
7658,62
7658,56
506,90
506,857
7671,28
7671,229
7671,80
7671,158
1378,1020
7658,2
6775,730
4845,1128
4845,4070
7261,4
6864,857
7461,781
2294,1398
7214,804
7214,1178
4175,1357
2968,4357
2496,4392
1954,80
6465,8153
6794,856
6794,1324
6898,2195
6522,41
3219,219
7067,6122
2796,4
6410,1322
2162,793
7720,42
7720,32
7720,28
7724,792
4540,778
7668,1616
7668,873
7668,1977
7668,1975
7668,1774
7668,1476
7668,1549
7668,1233
7668,1289
7668,1225
7668,1163
7668,1033
7668,356
6405,103
5372,32
7188,4214
449,103
5140,2289
7514,300
5757,6770
7271,8937
6110,175
6110,760
1748,187
6228,4
7633,997
7759,53
7728,4311
7764,50
7759,399
1281,1293
6089,857
3549,3728
5140,103
5140,133
6927,241
896,3219
6998,4
6998,650
4081,6813
4081,5020
4081,4094
4081,1369
7771,28
7783,760
7771,265
4553,447
5515,2740
5515,3375
5515,4052
5515,4888
4482,70
7789,1020
7790,1286
2639,93
7603,32
7789,189
7802,2250
5993,590
7784,241
7784,1480
7813,1289
7813,1233
7813,1549
7813,1476
7813,1827
7813,1975
7813,1977
7743,265
2768,5890
2768,6901
5317,56
5503,6770
7772,4993
7817,2195
6667,42
6744,2988
7809,345
7809,447
6465,3044
7824,3137
7674,117
5363,3390
3754,1175
3754,1957
7832,3044
7832,2619
7832,5681
7832,6175
7832,6652
7832,7054
7832,8832
7241,1907
3484,229
4845,586
2088,42
7001,189
7001,59
7001,544
7339,23
7339,27
7339,18
7339,25
7339,176
7339,1261
7820,289
2580,1398
7843,117
4438,6972
7405,3580
7405,5458
2389,289
7848,282
3011,293
3011,133
3011,4
4653,300
7169,2381
7169,1535
7169,2282
7853,9647
3391,1175
1382,937
4809,7020
3580,5089
3580,792
7867,271
4374,314
4374,1391
4374,2195
7138,70
6418,103
7879,28
6374,2064
6374,594
7039,4782
7039,4565
7897,58
7897,103
5794,282
7907,447
7681,155
7681,161
7907,817
7907,300
7908,1465
3393,1391
4356,4
2414,2288
7896,492
7896,760
7896,1530
7896,486
7896,3084
7896,817
6218,1953
7918,89
7850,1605
7901,586
7037,3595
7921,28
7921,103
7921,19
7921,62
7907,2370
7907,577
3866,80
6069,817
6864,1255
6864,356
6864,873
6864,1033
6864,1163
6864,1225
6864,1233
6864,1289
6864,1549
6864,1476
6864,1827
6864,1774
7810,3899
7810,6005
7810,5800
7810,7820
7810,7519
7810,8767
7927,4
7927,103
7927,28
7927,89
7927,70
7927,58
7309,3831
7930,89
5074,769
7935,158
7927,282
7934,1669
3989,187
4276,27
4276,25
7855,2719
7855,2780
7855,3154
7855,4000
7855,3157
3638,2270
3524,778
3524,93
3524,518
7950,42
1829,25
1829,18
1829,27
1829,23
1829,85
1829,56
7830,937
7830,480
7937,50
7786,50
7937,58
7937,1367
7958,50
6397,1166
6927,1968
512,289
7966,986
3707,561
7882,518
5391,3947
5675,8664
3707,1957
481,972
7980,103
7981,58
7981,15
6888,3989
7903,42
7990,50
7903,89
7989,5621
7856,8031
7989,602
7994,1910
4673,5539
7350,8369
6707,849
6707,5391
6707,5436
6707,187
6707,519
6707,781
6707,1398
6707,6503
653,997
7950,89
291,1953
5912,103
5912,70
3553,5444
5912,369
8010,89
2890,4638
875,89
8012,5539
4955,2195
8014,19
8014,53
8016,89
8015,42
4326,356
4326,219
4326,229
4326,792
4326,518
8018,2719
8018,2780
8018,3154
8018,4000
8018,3157
8018,1196
1550,1781
8021,187
8021,314
8021,1398
8021,2195
8021,519
8021,781
8021,1391
6339,5967
8021,1020
8021,369
8021,4145
8024,56
39,1486
6562,817
6541,5913
6541,229
234,2381
1625,492
6927,1626
8021,3830
1625,1367
1625,2741
1625,293
1625,1348
1625,3274
1625,3047
1625,2095
1625,4877
1625,5446
1625,5303
1625,3363
8034,62
8036,4
8036,103
8036,89
8036,265
3028,1530
1625,32
2214,4
4590,1367
7784,1869
8046,103
8046,80
8046,1910
8046,425
8046,3989
5539,4196
8058,32
8058,50
8058,28
8058,42
8058,19
8058,62
8058,89
8058,70
39,386
39,2601
8040,856
8040,1290
8040,241
3916,300
3916,1452
4325,282
8061,19
8061,189
8064,53
8064,89
8019,9138
7681,53
7681,345
7681,447
8071,62
1625,1641
5939,89
8021,8875
8083,89
8083,19
8079,1155
8087,32
8087,103
6389,650
6389,221
8053,486
8053,3206
8053,2392
8053,1391
7598,7524
8103,32
8103,19
8103,89
8103,161
5142,7737
5142,9532
5142,1641
8110,50
7842,159
8111,28
8111,70
5752,282
8117,41
8117,1323
5888,70
5888,496
6089,1639
5695,1741
2257,399
7065,289
7916,447
7916,2195
7447,2935
7447,80
7447,6350
7447,282
7999,223
5140,540
5140,5221
5140,4233
